layer,from_hex,from_name,to_hex,to_name,condition,confidence
tx,0x12,V34_TX_SSBAR_A,0x13,V34_TX_SSBAR_B,"After 0x40 symbol periods",high
tx,0x13,V34_TX_SSBAR_B,0x14,V34_TX_PP,"Normal path after preamble, no MD branch",medium
tx,0x13,V34_TX_SSBAR_B,0x56,V34_TX_MD,"MD path selected (field_0x9d0 and related flags/length)",medium
tx,0x13,V34_TX_SSBAR_B,0x42,V34_TX_MP,"Early signal/drop branch (0x2000 flag path)",medium
tx,0x14,V34_TX_PP,0x15,V34_TX_J,"PP block sent 6 times (0x30 symbols each)",high
tx,0x15,V34_TX_J,0x40,V34_TX_J_BAR,"J interval reaches target (field_0x190)",high
tx,0x15,V34_TX_J,0x4e,V34_TX_V90_JA,"V.90 branch (field531_0x24c > 1)",medium
tx,0x15,V34_TX_J,0x55,V34_TX_K56_JA,"K56flex branch (field532_0x250 > 1)",medium
tx,0x36,V34_TX_INFO_PREAMBLE,0x18,V34_TX_INFO,"After 10 symbols; INFO0a packet initialized",high
tx,0x4a,V34_TX_SILENCE_RETRAIN,0x3c,V34_TX_HOLD,"Silence retrain countdown reaches 0xB4",high
tx,0x56,V34_TX_MD,0x12,V34_TX_SSBAR_A,"MD complete (count == field_0x9d2), switch to S/Sbar",high
tx,0x40,V34_TX_J_BAR,0x41,V34_TX_DROP_WAIT,"Caller-side transition when receive side indicates drop/ready",medium
tx,0x44,V34_TX_J1,0x41,V34_TX_DROP_WAIT,"Caller-side transition when receive side indicates drop/ready",medium
tx,0x44,V34_TX_J1,0x42,V34_TX_MP,"J1 complete (counter wraps), reset for MP",medium
tx,0x41,V34_TX_DROP_WAIT,0x12,V34_TX_SSBAR_A,"Drop detected (rxflags & 0x8), restart S/Sbar",high
tx,0x42,V34_TX_MP,0x43,V34_TX_MP_BITS,"MP data-rate/bitfield built and MP frame initialized",high
tx,0x43,V34_TX_MP_BITS,0x45,V34_TX_E,"MP complete / E phase entry condition met",medium
tx,0x45,V34_TX_E,0x46,V34_TX_DATA,"E transmit completes (d6a == 0x14)",high
tx,0x18,V34_TX_INFO,0x3c,V34_TX_HOLD,"End-of-message (getbit < 0) and non-MOH path",high
tx,0x18,V34_TX_INFO,0x51,V34_TX_MOH_SILENCE,"MOH branch enters silence window",medium
tx,0x51,V34_TX_MOH_SILENCE,0x52,V34_TX_MOH_WAIT,"After 0xC0 silence, MH sequence indicates wait",medium
tx,0x51,V34_TX_MOH_SILENCE,0x53,V34_TX_MOH_CLEARDOWN,"After 0xC0 silence, MH sequence indicates cleardown",medium
tx,0x52,V34_TX_MOH_WAIT,0x54,V34_TX_MOH_DISCONNECT,"MOH timeout/disconnect branch",medium
tx,0x53,V34_TX_MOH_CLEARDOWN,0x54,V34_TX_MOH_DISCONNECT,"MOH timeout/disconnect branch",medium
tx,0x3c,V34_TX_HOLD,0x05,V34_TX_PHASE1_CALL,"Microstate 0x3f path returns to phase1-call TX",medium
tx,0x05,V34_TX_PHASE1_CALL,0x12,V34_TX_SSBAR_A,"Microstate 0x3f path re-enters phase3 transmitter setup",medium
tx,ANY,ANY,0x18,V34_TX_INFO,"Multiple error-recovery and re-init paths force INFO resend",medium
rx,ANY,ANY,0x2b,V34_RX_DPSK,"Common reset/retrain/error-recovery receive mode",high
rx,ANY,ANY,0x23,V34_RX_WAIT,"Multiple phase3/data-handshake and MOH branches",medium
rx,ANY,ANY,0x04,V34_RX_DATA,"Enter data-related demod path from J/MP stage",high
rx,ANY,ANY,0x35,V34_RX_DET_AB,"Probe/AB detector active after TX probe setup",high
rx,ANY,ANY,0x48,V34_RX_L1,"RX L1 timing/delay-estimation branch entered",high
micro,ANY,ANY,0x29,V34_MS_DET_SYNC,"Default DET_SYNC control-channel baseline",high
micro,0x29,V34_MS_DET_SYNC,0x2c,V34_MS_DET_INFO,"DET_SYNC found ('r') and begin INFO detect/CRC tracking",high
micro,ANY,ANY,0x2e,V34_MS_TX_PHASE1_ANS,"Tone/phase conditions route to answer-side phase1 TX",medium
micro,ANY,ANY,0x31,V34_MS_RX_PHASE1_ANS,"TX hold path toggle/retrain waiting microstate",low
micro,ANY,ANY,0x32,V34_MS_RX_PHASE2_ANS,"TX state forced to phase1-call on call-side progression",low
micro,ANY,ANY,0x33,V34_MS_TX_PROBE,"Probe transmit section begins",high
micro,0x33,V34_MS_TX_PROBE,0x34,V34_MS_RX_PROBE,"Probe counter reaches 0x600",high
micro,ANY,ANY,0x37,V34_MS_TX_PHASE1_CALL,"RX phase1-call reached by tone/timing condition",medium
micro,ANY,ANY,0x38,V34_MS_RX_PHASE3_CALL,"Phase3-call microstate entered",medium
micro,ANY,ANY,0x3a,V34_MS_RX_PHASE1_CALL,"Caller-side branch after DET_SYNC timeout/recovery",medium
micro,ANY,ANY,0x3b,V34_MS_RX_PHASE2_CALL,"TX phase1-call cycle toggles microstate",medium
micro,ANY,ANY,0x3e,V34_MS_WAIT_PHASE3_CALL,"Wait for phase3-call trigger in answer branch",medium
micro,ANY,ANY,0x3f,V34_MS_TX_INFO1,"INFO1a/INFO1c generation and retransmission window",high
micro,ANY,ANY,0x4f,V34_MS_MOH_WAIT_SIGNAL_DROP,"MOH wait for signal drop window",medium
micro,ANY,ANY,0x50,V34_MS_MOH_WAIT_SEQUENCE,"MOH wait for MH sequence window",medium
